date,record_id,doi,title,views,unique_views,downloads,unique_downloads,version_views,version_unique_views,version_downloads,version_unique_downloads,volume,version_volume,snapshot_utc
2026-06-26,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,149,124,16,13,149,124,16,13,0,0,2026-06-26T22:34:50.094830+00:00
2026-06-27,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,151,126,16,13,151,126,16,13,0,0,2026-06-27T09:13:29.018390+00:00
2026-06-28,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,151,126,16,13,151,126,16,13,0,0,2026-06-28T09:43:56.275081+00:00
2026-06-29,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,151,126,16,13,151,126,16,13,0,0,2026-06-29T11:33:44.748001+00:00
2026-06-30,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,151,126,16,13,151,126,16,13,0,0,2026-06-30T10:09:50.042797+00:00
2026-07-01,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,165,140,20,16,165,140,20,16,0,0,2026-07-01T10:31:16.949438+00:00
2026-07-02,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,168,143,21,17,168,143,21,17,0,0,2026-07-02T09:45:02.056225+00:00
2026-07-03,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,171,146,21,17,171,146,21,17,0,0,2026-07-03T09:43:46.384759+00:00
2026-07-04,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,171,146,23,19,171,146,23,19,0,0,2026-07-04T09:06:20.292216+00:00
2026-07-05,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,173,148,23,19,173,148,23,19,0,0,2026-07-05T09:28:45.912036+00:00
2026-07-06,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,175,150,23,19,175,150,23,19,0,0,2026-07-06T11:14:22.023230+00:00
2026-07-07,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,179,154,24,20,179,154,24,20,0,0,2026-07-07T10:07:24.234952+00:00
2026-07-08,20260147,10.5281/zenodo.20260147,MagBridge-Battery: A Synthetic Bridge Dataset for Li-ion Magnetometry and State-of-Health Diagnostics,180,155,28,24,180,155,28,24,0,0,2026-07-08T09:08:12.361559+00:00
